# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
58.648 0.000 109.173 9.586
104.973 212.860 113.244 114.415
92.344 0.000 113.761 9.586
127.705 0.252 115.426 397.000
63.603 48.278 109.896 111.797
147.535 0.000 114.883 0.000
60.800 0.000 109.169 0.000
139.313 0.000 114.902 0.000
34.478 0.000 95.022 0.000
138.084 215.295 114.888 114.999
141.651 206.440 114.729 115.398
64.486 0.494 109.045 22.015
43.339 0.000 102.199 0.000
151.793 0.000 115.026 0.000
49.378 0.000 105.818 0.000
34.329 215.178 93.764 93.999
53.562 0.720 106.574 64.000
31.860 0.000 95.926 0.000
58.570 0.000 109.881 0.000
41.261 0.000 105.067 0.000
79.190 0.000 112.023 9.586
136.675 215.105 115.133 115.438
51.296 0.000 106.711 9.586
187.393 1.259 114.986 21.054
141.139 1.243 115.384 20.054
50.769 0.000 106.306 0.000
51.765 0.000 107.761 9.586
80.385 0.000 111.751 9.586
34.779 0.000 98.947 0.000
49.623 135.234 106.711 108.027
43.920 2.398 105.180 19.502
73.272 2.051 112.178 14.114
86.560 127.104 113.394 113.736
328.557 0.000 117.659 0.000
120.699 0.000 114.095 0.000
67.324 0.000 109.799 0.000
41.744 0.000 98.716 0.000
64.642 0.000 109.942 0.000
46.930 0.000 104.957 0.000
249.224 0.000 115.941 0.000
378.121 0.000 116.844 0.000
43.162 0.734 90.536 18.013
29.209 1.738 105.394 10.044
89.759 2.169 111.658 10.275
117.257 140.435 113.603 113.814
36.322 0.753 96.602 74.000
37.280 0.502 98.994 185.000
140.935 220.147 117.862 116.998
68.639 2.180 107.593 20.580
89.314 1.678 112.033 11.739
51.827 218.735 104.726 105.953
142.813 0.260 113.889 63.000
29.136 1.907 81.308 14.051
55.073 0.772 106.785 15.028
160.032 0.504 116.491 53.000
62.028 0.504 109.003 316.000
81.507 0.000 110.999 0.000
145.966 108.275 114.621 114.547
68.020 1.784 109.687 32.360
138.217 218.622 115.894 115.434
137.821 121.143 113.170 115.001
325.654 0.000 117.371 0.000
256.479 0.000 118.148 0.000
132.256 3.324 115.221 18.042
42.235 0.000 101.136 0.000
52.070 0.000 104.721 0.000
143.564 85.988 113.877 115.316
29.031 0.000 62.972 0.000
69.514 3.417 110.402 270.000
134.656 3.432 115.318 386.789
116.967 1.471 112.816 27.032
33.259 132.471 94.960 96.421
137.293 0.000 113.712 9.586
29.551 5.210 91.530 0.000
169.296 2.069 115.797 11.466
48.412 0.000 106.727 9.586
42.877 1.461 103.506 15.020
46.903 211.279 105.269 106.599
